,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,"GAMMADION CONSTRUCTION AND ENTERPRISES, INC.",Corporation,22-Jun-2005,Platinum,Active,18-May-2020,18-May-2021,20050676661257159510
1,NORTH ARLEE CONSTRUCTION,Single Proprietorship,23-Nov-2018,Platinum,Active,09-Mar-2020,09-Mar-2021,20181166162834380726
2,RJRMJ ENTERPRISES,Single Proprietorship,12-Dec-2019,Platinum,Active,09-Mar-2020,09-Mar-2021,20191254341936268151
3,LITEKON BUILDTEK CORPORATION,Corporation,05-Feb-2007,Platinum,Active,11-Mar-2020,11-Mar-2021,200702125052076369606
4,GC & S CONSTRUCTION & SUPPLY,Single Proprietorship,09-Jan-2015,Platinum,Active,03-Feb-2020,03-Feb-2021,1970012122461230572637
5,"BULLSEYE SOLUTIONS, INC.",Corporation,31-Mar-2010,Platinum,Active,09-Mar-2020,09-Mar-2021,201003414821172913927
6,"GRAN ROYALE SECURITY & INVESTIGATION AGENCY, INC.",Corporation,01-Sep-2015,Platinum,Active,09-Mar-2020,09-Mar-2021,201509146564684995692
7,MR VARGAS CONSTRUCTION CORPORATION,Corporation,10-Jan-2018,Platinum,Active,31-Jan-2020,04-Feb-2021,1970012122201064942418
8,PAYPERPRINT OFFSET PRESS & PUBLISHING HOUSE,Single Proprietorship,02-Mar-2015,Platinum,Active,09-Mar-2020,22-Mar-2021,2015031283721218704605
9,PENINSVLA EATERY,Single Proprietorship,01-Feb-2019,Platinum,Active,05-Mar-2020,05-Mar-2021,201902572291145082649
10,CLEANWAY ENVIRONMENTAL MANAGEMENT SOLUTIONS INC.,Corporation,06-Jan-2006,Platinum,Active,09-Mar-2020,19-Mar-2021,20060151528259919086
11,KATRINA'S CURTAIN & ACCESSORIES,Single Proprietorship,03-Jul-2008,Platinum,Active,05-Mar-2020,05-Mar-2021,200807213012081728752
12,NTS TIRE SUPPLY,Single Proprietorship,22-Mar-2010,Platinum,Active,09-Mar-2020,25-Apr-2021,201003329261282738858
13,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,Corporation,12-Jan-2017,Platinum,Active,09-Mar-2020,28-Mar-2021,2017011860081232670399
14,ARCE BAILON ARCE ARCHITECTS,Partnership,27-Apr-2009,Platinum,Active,16-Jun-2020,16-Jun-2021,200904262561200761159
15,JETHER ENGINEERING SERVICES & SUPPLY,Single Proprietorship,28-Aug-2018,Platinum,Active,17-Mar-2020,17-Mar-2021,201808815321753043611
16,"MAN MEDICAL PHARMA AND DIAGNOSTICS, INC.",Corporation,24-Aug-2016,Platinum,Active,28-Apr-2020,28-Apr-2021,201608182612826651504
17,SAMAHANG IKAUUNLAD NG MAY KAPANSANAN ATING PALAWAKINMULTIPURPOSE COOPERATIVE,Cooperative,13-Oct-2004,Platinum,Active,05-Mar-2020,05-Mar-2021,2004105373111849187
18,DAR ELECTRONICS WORKSHOP,Single Proprietorship,11-Oct-2010,Platinum,Active,05-Mar-2020,05-Mar-2021,201010363411946198494
19,DEZMAR CONSTRUCTION AND DEVELOPMENT,Single Proprietorship,14-Jun-2013,Platinum,Active,10-Mar-2020,18-Mar-2021,20130674170654542936
20,MARINA SALES INC.,Corporation,19-Jan-2012,Platinum,Active,09-Mar-2020,09-Mar-2021,201201472561869221248
21,KING LOUIS FLOWERS AND PLANTS INC.,Corporation,28-Jan-2016,Platinum,Active,05-Mar-2020,05-Mar-2021,2016011601741283694206
22,"5 ""S"" CATERING SERVICES",Single Proprietorship,04-Dec-2015,Platinum,Active,09-Mar-2020,09-Mar-2021,2015121559531556046807
23,EER AUTO SUPPLY,Single Proprietorship,01-Mar-2013,Platinum,Active,05-Mar-2020,05-Mar-2021,201303671421468035923
24,D'MARK MULTISALES CORPORATION,Corporation,30-Oct-2014,Platinum,Active,13-Jul-2020,13-Jul-2021,201410118399180419576
25,SANDICHO TRADING,Single Proprietorship,05-May-2017,Platinum,Active,05-Mar-2020,05-Mar-2021,2017051640771551630329
26,MAXIMUM ENGINEERING WORKS,Single Proprietorship,10-Apr-2014,Platinum,Active,09-Mar-2020,09-Mar-2021,201404993721424417852
27,"CYN TRADING & SERVICES, INC.",Corporation,05-Jul-2012,Platinum,Active,09-Mar-2020,11-Mar-2021,20120755437445601752
28,GLIMEX INC.,Corporation,29-Jun-2001,Platinum,Active,09-Mar-2020,13-Mar-2021,200106852059108560
29,EAJR DE LEON CONSTRUCTION,Single Proprietorship,05-Feb-2015,Platinum,Active,09-Mar-2020,09-Mar-2021,201502125891702141662
30,ASIAN-RELIANCE INDUSTRIAL ENGINEERING SUPPLIES,Single Proprietorship,10-Mar-2015,Platinum,Active,09-Mar-2020,21-Mar-2021,2015031294101224362167
31,GRECO CONSTRUCTION AND SUPPLY,Single Proprietorship,02-Feb-2007,Platinum,Active,18-Mar-2020,18-Mar-2021,20070212475406378517
32,CZERJ CONSTRUCTION & TRADING,Single Proprietorship,24-Apr-2014,Platinum,Active,11-Mar-2020,21-Apr-2021,2014041003881494347353
33,"ZIMMOX INTERNATIONAL PRODUCT SPECIALISTS, INC.",Corporation,06-Aug-2012,Platinum,Active,10-Mar-2020,12-Mar-2021,201208571491321116934
34,LEADING EDGE AIR SERVICES CORPORATION,Corporation,18-Mar-2019,Platinum,Active,09-Mar-2020,29-Mar-2021,201903501011744020425
35,UNITED COCONUT PLANTERS LIFE ASSURANCE CORP.,Corporation,24-Mar-2006,Platinum,Active,09-Mar-2020,14-Mar-2021,20060398092049415579
36,SMS TYRE DEPOT AND CAR ACCESSORIES INC.,Corporation,20-Apr-2017,Platinum,Active,14-Mar-2020,14-Mar-2021,2017041665871035725446
37,PS TEVES CONSTRUCTION SUPPLIES TRADING,Single Proprietorship,21-Feb-2020,Platinum,Active,09-Mar-2020,09-Mar-2021,2020022115851450805871
38,"JK BUILDERS, INC.",Corporation,21-Aug-2008,Platinum,Active,09-Mar-2020,09-Mar-2021,200808321801094141434
39,LIA WET AND DRY MARKET,Single Proprietorship,28-Jan-2020,Platinum,Active,05-Mar-2020,05-Mar-2021,202001488808004046
40,WYVERN CORP,Corporation,21-Mar-2019,Platinum,Active,09-Mar-2020,09-Mar-2021,201903492741904018594
41,BRIELLE'S CHICKEN PALACE,Single Proprietorship,30-Jun-2015,Platinum,Active,09-Mar-2020,11-Mar-2021,2015061402661490235290
42,PRINCESS NATIVE RESTO AND CATERING SERVICES,Single Proprietorship,04-Mar-2015,Platinum,Active,10-Mar-2020,10-Mar-2021,2015031286031315696577
43,BN BUILDERS & CONSTRUCTION SUPPLIES,Single Proprietorship,28-Jun-2007,Platinum,Active,31-Jan-2020,19-Feb-2021,1970012122631727505203
44,THE CLEAN O2 ECO-FRIENDLY CORPORATION,Corporation,31-Jan-2020,Platinum,Active,10-Mar-2020,10-Mar-2021,202001209163529405366
45,MINAMI MOTOR PARTS TRADING,Single Proprietorship,01-Feb-2010,Platinum,Active,09-Mar-2020,09-Mar-2021,201002317001802191136
46,C.E. GEN. MERCHANDISE,Single Proprietorship,17-Nov-2003,Platinum,Active,06-Mar-2020,06-Mar-2021,20031120431945641274
47,A.C. DE LARA CONSTRUCTION,Single Proprietorship,31-Aug-2005,Platinum,Active,06-Mar-2020,06-Mar-2021,20050881692068236101
48,"DSL EVENTS AND PRODUCTION HOUSE,INC.",Corporation,26-Feb-2020,Platinum,Active,09-Mar-2020,09-Mar-2021,2020022120391974095166
49,GREEN STEWARDS AGRI-ENTERPRISES,Single Proprietorship,23-Jul-2015,Platinum,Active,09-Mar-2020,09-Mar-2021,2015071429611810106079
50,APAG MARANGLE CO.,Partnership,05-Sep-2017,Platinum,Active,09-Mar-2020,09-Mar-2021,2017091425311106436325
51,MARROX TRADING AND CONSTRUCTION,Single Proprietorship,11-Sep-2006,Platinum,Active,09-Mar-2020,09-Mar-2021,20060911086324576391
