,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,"A.V. PAMATONG TRADING & CONSTRUCTION, INC.",Corporation,31-Jul-2007,Platinum,Active,20-Jul-2020,07-Aug-2021,20070715486886970345
1,DOBS EVENTS PLACE,Single Proprietorship,05-Dec-2018,Platinum,Active,16-Jul-2020,16-Jul-2021,201812641231224606408
2,FMCR ENTERPRISES,Single Proprietorship,13-Jul-2020,Platinum,Active,04-Aug-2020,04-Aug-2021,2020072207751986815662
3,"88 SMART COOL A/C, INC",Corporation,08-Mar-2018,Platinum,Active,20-Jul-2020,20-Jul-2021,2018031108152128913205
4,REINASTAR TRADING AND CONSTRUCTION SUPPLY,Single Proprietorship,26-Feb-2016,Platinum,Active,16-Jul-2020,16-Jul-2021,2016021633111898655737
5,RCT CONSTRUCTION,Single Proprietorship,01-Oct-2009,Platinum,Active,22-Jul-2020,29-Jul-2021,20091028822225419167
6,3ME BUENAMANO MKTG. INC.,Corporation,29-Apr-2015,Platinum,Active,16-Jul-2020,16-Jul-2021,201504134460390014154
7,WYT CONSTRUCTION AND DEV'T. CORP.,Corporation,08-Jun-2015,Platinum,Active,17-Jul-2020,17-Jul-2021,201506137966668595249
8,FRO OFFICE SUPPLIES AND EQUIPMENT TRADING,Single Proprietorship,09-Jul-2020,Platinum,Active,17-Jul-2020,17-Jul-2021,202007220382830550581
9,DIAMOND HEAD PHARMACEUTICALS,Single Proprietorship,01-Apr-2005,Platinum,Active,20-Jul-2020,20-Jul-2021,20050470131796641419
10,FOOD HOLIDAYS PUBLISHING,Single Proprietorship,31-Mar-2020,Platinum,Active,04-Aug-2020,04-Aug-2021,202003215179454695949
11,SINGEL PETROLEX INC.,Corporation,14-Jul-2020,Platinum,Active,16-Jul-2020,16-Jul-2021,202007221000545964229
12,REDKIDZ ENTERPRISES,Single Proprietorship,14-Jul-2008,Platinum,Active,30-Jul-2020,30-Jul-2021,200807215371643914087
13,MAMA'S KAONAN AND CATERING SERVICES,Single Proprietorship,27-Dec-2018,Platinum,Active,17-Jul-2020,17-Jul-2021,20181261898433660547
14,"RED DRAGONS, INC. (AMATHEA EDUCATIONAL SYSTEMS)",Corporation,15-May-2007,Platinum,Active,20-Jul-2020,20-Jul-2021,200705136881630719880
15,ST. AGNES TRADING & CONSTRUCTION CORPORATION,Corporation,26-Jun-2019,Platinum,Active,17-Jul-2020,17-Jul-2021,201906363501935082233
16,IM J CONSTRUCTION,Single Proprietorship,15-Dec-2017,Platinum,Active,20-Jul-2020,20-Jul-2021,2017121237001573518773
17,GJP CONSTRUCTION SUPPLY,Single Proprietorship,20-Apr-2017,Platinum,Active,21-Jul-2020,21-Jul-2021,2017041666941875122201
18,ILAGAN GOOD LUCK TRADING & COPY CENTER,Single Proprietorship,30-Jan-2004,Platinum,Active,17-Jul-2020,14-Aug-2021,20040125151644185958
19,MERMIT CONSTRUCTION AND ENTERPRISES,Single Proprietorship,02-Aug-2017,Platinum,Active,20-Jul-2020,28-Aug-2021,2017081480651408060396
20,TMTC CONSTRUCTION AND SUPPLY,Single Proprietorship,21-May-2013,Platinum,Active,07-Aug-2020,17-Aug-2021,201305721921053595002
21,AUTO-MEKANIKO MULTI TRADE CORPORATION,Corporation,03-Apr-2012,Platinum,Active,21-Jul-2020,21-Jul-2021,2012045135738006468
22,ISOLUTIONS INTERNATIONAL INC.,Corporation,25-Aug-2009,Platinum,Active,17-Jul-2020,17-Jul-2021,200908126423778241544
23,MBMI BUILDERS AND SUPPLY,Single Proprietorship,19-Jun-2019,Platinum,Active,03-Aug-2020,03-Aug-2021,201906374311453422491
24,BLUE STAR INTERIORS INC.,Corporation,21-Jul-2003,Platinum,Active,17-Jul-2020,17-Jul-2021,2003071746507266201
25,FIRST ASIA AGRI-INDUSTRIAL RESOURCE CORP.,Corporation,16-Jun-2020,Platinum,Active,17-Jul-2020,17-Jul-2021,202006218469587005172
26,AB LIVESTOCK SUPPLIER,Single Proprietorship,11-Oct-2007,Platinum,Active,20-Jul-2020,22-Jul-2021,20071016973999400895
27,FILIPINAS TEKNOMED MARKETING CORPORATION,Corporation,14-Mar-2008,Platinum,Active,27-Jul-2020,28-Aug-2021,20080319520139917200
28,AMANA GENERAL MERCHANDISE,Single Proprietorship,06-May-2019,Platinum,Active,23-Jul-2020,23-Jul-2021,201905437701544404383
29,SASOUN TRADING (SASOUN CYCLE SHOP),Single Proprietorship,23-Aug-2016,Platinum,Active,17-Jul-2020,31-Aug-2021,2016081824331451235375
30,PROVERBS MOTORCYCLE PARTS AND GENERAL MERCHANDISE,Single Proprietorship,15-Jun-2017,Platinum,Active,17-Jul-2020,17-Jul-2021,2017061566691003909156
31,SUBICWORX INCORPORATED,Corporation,19-Feb-2019,Platinum,Active,07-Aug-2020,07-Aug-2021,2019025435950627644
