,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,"NEW BIAN YEK COMMERCIAL, INC.",Corporation,20-May-2004,Platinum,Active,02-Jul-2020,23-Jul-2021,2004053986929625872
1,CARFA TRADING,Single Proprietorship,02-Apr-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,20190447709969256407
2,GRAND MERITUS SECURITY AGENCY INC.,Corporation,25-Feb-2015,Platinum,Active,29-Jun-2020,26-Jul-2021,20150218109245017018
3,BIANNCE BUILDERS,Single Proprietorship,11-Dec-2013,Platinum,Active,25-Jun-2020,25-Jun-2021,201312892861647971944
4,TEOFELY GARDENS WEDDING & EVENTS VENUE,Single Proprietorship,18-Jan-2012,Platinum,Active,25-Jun-2020,25-Jun-2021,20120147175332306363
5,"C.R. DOMINGO CONSTRUCTION AND POWER DEVELOPMENT, INC.",Corporation,09-Mar-2005,Platinum,Active,25-Jun-2020,25-Jun-2021,20050367821707767538
6,MB FLORECE GRAVEL AND SAND DEALER,Single Proprietorship,12-Jan-2018,Platinum,Active,26-Jun-2020,26-Jun-2021,20180112003959521082
7,"ASIAN SOCIAL PROJECT SERVICES, INC. (ASPSI)",Corporation,18-Jun-2009,Platinum,Active,30-Jun-2020,13-Jul-2021,200906272161233778644
8,K.A.T.S. CONSTRUCTION AND TRADING,Single Proprietorship,16-Apr-2018,Platinum,Active,25-Jun-2020,25-Jun-2021,2018041043451031621353
9,NEW LIFE KABASALAN ENTERPRISES,Single Proprietorship,07-Apr-2011,Platinum,Active,25-Jun-2020,25-Jun-2021,201104403071133761442
10,ASB INDUSTRIAL SALES,Single Proprietorship,19-Feb-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,20140294205391954610
11,IA CASTAÑEDA CONSTRUCTION AND SUPPLY,Single Proprietorship,27-Mar-2015,Platinum,Active,02-Jul-2020,02-Jul-2021,201503131529264057421
12,BOTOX TRADING & CONSTRUCTION SUPPLY,Single Proprietorship,08-Jul-2015,Platinum,Active,25-Jun-2020,19-Jul-2021,2015071412391027133517
13,J.G. GREFALDA CONSTRUCTION SERVICES,Single Proprietorship,17-Jan-2020,Platinum,Active,25-Jun-2020,25-Jun-2021,2020012068675594961
14,INAMARGA ENTERPRISES,Single Proprietorship,09-Mar-2007,Platinum,Active,25-Jun-2020,25-Jun-2021,20070313081614793572
15,RPL GENERAL MERCHANDISE,Single Proprietorship,16-Dec-2016,Platinum,Active,26-Jun-2020,26-Jun-2021,20161218905948003495
16,THE INSULAR LIFE ASSURANCE COMPANY LTD.,Corporation,04-Dec-2007,Platinum,Active,07-Jul-2020,07-Jul-2021,200712279041103893049
17,HYPER TRADE DISTRIBUTORS,Single Proprietorship,24-Nov-2017,Platinum,Active,29-Jun-2020,29-Jun-2021,2017111268501406973588
18,RUSLIN CONSTRUCTION,Single Proprietorship,21-Oct-2014,Platinum,Active,25-Jun-2020,26-Jun-2021,201410117817450428443
19,"OTUS COPY SYSTEMS, INC.",Corporation,31-Mar-2008,Platinum,Active,26-Jun-2020,03-Jul-2021,200803281651807830244
20,RCM GAS REFILLING STATION,Single Proprietorship,20-Feb-2018,Platinum,Active,25-Jun-2020,25-Jun-2021,2018021138131212845046
21,MARDEREI TRAVEL AND TOURS,Single Proprietorship,22-Jun-2020,Platinum,Active,25-Jun-2020,25-Jun-2021,2020062188191051986256
22,JM2K CONSTRUCTION,Single Proprietorship,28-May-2010,Platinum,Active,25-Jun-2020,25-Jun-2021,201005338061718024438
23,YANTAO MARKETING,Single Proprietorship,23-Apr-2012,Platinum,Active,25-Jun-2020,25-Jun-2021,20120451993941064133
24,EMKAY PRINTS AND PRESS,Single Proprietorship,08-Jun-2020,Platinum,Active,25-Jun-2020,25-Jun-2021,202006217983428969686
25,PSS GM MARKETING,Single Proprietorship,25-Sep-2014,Platinum,Active,29-Jun-2020,29-Jun-2021,201409115106436962388
26,F.F GALANG CONSTRUCTION,Single Proprietorship,10-Mar-2009,Platinum,Active,25-Jun-2020,25-Jun-2021,200903253041093997448
27,MDX CONSTRUCTION,Single Proprietorship,03-Jul-2015,Platinum,Active,26-Jun-2020,03-Jul-2021,201507140814348740173
