,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,GM BONAVENTE HARDWARE,Single Proprietorship,25-Jul-2012,Platinum,Active,07-Jul-2020,07-Jul-2021,20120756476954112183
1,"BUTUAN GOODYEAR ENTERPRISES, INCORPORATED",Corporation,29-Oct-2012,Platinum,Active,10-Jul-2020,10-Jul-2021,201210612431529030118
2,L.P. VILLASIN CONSTRUCTION,Single Proprietorship,28-Aug-2007,Platinum,Active,03-Aug-2020,03-Aug-2021,2007081608745395868
3,TECHVOC SKILLS INC,Corporation,19-Mar-2017,Platinum,Active,10-Jul-2020,10-Jul-2021,2017031725201096267797
4,KAMATAGE TRADING,Single Proprietorship,17-Apr-2017,Platinum,Active,20-Jul-2020,29-Jul-2021,2017041671051824727142
5,PRUDENT DIAMOND SQUARE CONSTRUCTION CO.,Partnership,13-Jan-2005,Platinum,Active,07-Jul-2020,24-Jul-2021,20050160291733200676
6,LYANOS OFFICE AND SCHOOL SUPPLIES TRADING,Single Proprietorship,28-Jun-2019,Platinum,Active,10-Jul-2020,16-Jul-2021,2019063571820682092
7,AEROMABALASIK TAILORING,Single Proprietorship,09-Feb-2016,Platinum,Active,07-Jul-2020,07-Jul-2021,201602161199948303476
8,LORENZO TAN DEVELOPMENT CO. INC.,Corporation,17-Jun-2011,Platinum,Active,03-Jul-2020,03-Jul-2021,201106418021736842485
9,"INNOVATION PRINTSHOPPE, INC.",Corporation,12-Jul-2002,Platinum,Active,20-Jul-2020,20-Jul-2021,200207882575219493
10,C.G. GARCIA REALTY AND DEVELOPMENT CORPORATION,Corporation,08-Apr-2015,Platinum,Active,16-Jul-2020,16-Jul-2021,2015041323971971020397
11,PALAWAN PIONEER FUEL DISTRIBUTION CORPORATION,Corporation,08-Apr-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,20140499111755405462
12,NISMALS' CORPORATION,Corporation,06-Aug-2013,Platinum,Active,03-Jul-2020,03-Jul-2021,20130878773965075515
13,"HML TECHNOLOGIES AND SERVICES, INC.",Corporation,29-Oct-2018,Platinum,Active,03-Jul-2020,03-Jul-2021,20181070353768827833
14,KILLUA ENTERPRISES,Single Proprietorship,07-Jun-2018,Platinum,Active,07-Jul-2020,22-Jul-2021,20180695744710685536
15,PFS CORPORATION,Corporation,25-Jun-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,2020062192291624693481
16,FINE W ENTERPRISES,Single Proprietorship,01-Feb-2013,Platinum,Active,17-Jul-2020,17-Jul-2021,20130285748317992992
17,MACASO SHELL GASOLINE STATION,Single Proprietorship,17-Dec-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,201412122816364162935
18,VINCENT SEAOIL STATION,Single Proprietorship,16-Jul-2009,Platinum,Active,13-Jul-2020,23-Jul-2021,20090727713976994326
19,BRADY PHARMA INC.,Corporation,23-Sep-2011,Platinum,Active,07-Jul-2020,07-Jul-2021,20110944255694946029
20,VISMAY INTERNATIONAL CORPORATION,Corporation,17-Jun-2020,Platinum,Active,09-Jul-2020,09-Jul-2021,20200621850955997298
21,GRATEFUL REALTY CORPORATION,Corporation,01-Apr-2018,Platinum,Active,10-Jul-2020,10-Jul-2021,201804107090440494511
22,MCARV CONSTRUCTION SERVICES,Single Proprietorship,11-Jun-2019,Platinum,Active,07-Jul-2020,07-Jul-2021,201906387571507035592
23,"MODULAR PLUS HOME SYSTEM, INCORPORATED",Corporation,07-Feb-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,20130265597831483334
24,DON-AIRE AIRCONDITIONING SOLUTIONS,Single Proprietorship,10-Aug-2016,Platinum,Active,21-Jul-2020,15-Aug-2021,2016081807771157749456
25,MERGON PHARMA DISTRIBUTOR CO.,Partnership,06-Apr-2015,Platinum,Active,07-Jul-2020,07-Jul-2021,201504131976222897928
26,"INNOMED SYSTEMS, INC.",Corporation,07-Feb-2008,Platinum,Active,10-Jul-2020,10-Jul-2021,20080218661301894592
27,ATR MULTI TRADE CONCEPT INC.,Corporation,07-May-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,20130571216111885478
28,AUTOMED GENERAL MERCHANDISE AND TRADING COMPANY INC.,Corporation,20-Sep-2017,Platinum,Active,13-Jul-2020,29-Aug-2021,201709138540186117289
29,E. BALMES TRUCKING,Single Proprietorship,08-Feb-2010,Platinum,Active,07-Jul-2020,07-Jul-2021,201002318782090622695
30,DBP SERVICE CORPORATION,Corporation,05-Sep-2001,Platinum,Active,10-Jul-2020,10-Jul-2021,2001091551020351765
31,NUEVA VALENCIA MULTI-PURPOSE COOPERATIVE,Cooperative,18-Aug-2015,Platinum,Active,09-Jul-2020,25-Jul-2021,201508145422597022338
32,HAPPY ENTERPRISES AND RESOURCES INC,Corporation,04-Nov-2016,Platinum,Active,10-Jul-2020,10-Jul-2021,201611191442671490199
33,JOFARENZ PRINTING AND ENTERPRISES,Single Proprietorship,09-Jul-2004,Platinum,Active,07-Jul-2020,07-Jul-2021,2004074425396422737
34,SABING RESTAURANT,Single Proprietorship,11-Dec-2019,Platinum,Active,10-Jul-2020,10-Jul-2021,2019125621350437462
35,R3 ANGELS PHARMACEUTICALS,Single Proprietorship,19-Sep-2017,Platinum,Active,10-Jul-2020,10-Jul-2021,2017091387081243531313
36,JSGA ENTERPRISES,Single Proprietorship,15-Jul-2011,Platinum,Active,07-Jul-2020,07-Jul-2021,201107425031925622433
37,UNI CONSTRUCTION,Single Proprietorship,25-Jun-2007,Platinum,Active,07-Jul-2020,17-Aug-2021,20070614611814220157
38,RF CABELTES CONSTRUCTION,Single Proprietorship,17-May-2010,Platinum,Active,10-Jul-2020,10-Jul-2021,201005336351729226283
39,MR PALABAO CONSTRUCTION AND SUPPLIES,Single Proprietorship,30-Nov-2017,Platinum,Active,07-Jul-2020,07-Jul-2021,201711125677143850993
40,SUPERSONIC MANUFACTURING INCORPORATED,Corporation,09-Jan-2003,Platinum,Active,09-Jul-2020,09-Jul-2021,2003011317447937368
41,MALCAMPO AND SONS ENTERPRISES,Single Proprietorship,02-Sep-2011,Platinum,Active,07-Jul-2020,07-Jul-2021,20110943687669686553
42,JOARC TRADING,Single Proprietorship,08-Jun-2016,Platinum,Active,27-Jul-2020,27-Jul-2021,2016061735402056495071
43,7S CCTV SECURITY CORPORATION,Corporation,04-Mar-2017,Platinum,Active,07-Jul-2020,07-Jul-2021,2017031755801090546331
44,RSN TRADING AND CONSTRUCTION SERVICES,Single Proprietorship,19-Jul-2018,Platinum,Active,07-Jul-2020,07-Jul-2021,201807888351092710214
45,ELECTROBYTE ENVIRONMENTAL CONCERNS CORPORATION,Corporation,24-Aug-2005,Platinum,Active,21-Jul-2020,21-Jul-2021,20050881181873247151
46,MEL-SOL'S INN & RESORT,Single Proprietorship,02-Mar-2007,Platinum,Active,09-Jul-2020,09-Jul-2021,200703129631093124982
47,DALCON HARDWARE,Single Proprietorship,05-Dec-2018,Platinum,Active,09-Jul-2020,09-Jul-2021,201812641171671174142
48,TELEHEALTH SOLUTIONS INC.,Corporation,10-Jun-2020,Platinum,Active,09-Jul-2020,09-Jul-2021,202006218127351334116
49,LEVI MARKETING,Single Proprietorship,16-Nov-2016,Platinum,Active,13-Jul-2020,13-Jul-2021,2016111932591230032426
50,OPTIMUS MOBILE TECHNOLOGIES INCORPORATED,Corporation,01-Jul-2020,Platinum,Active,13-Jul-2020,13-Jul-2021,2020072197052076581457
