,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,N.K. TUGUINAY SURVEYING SERVICES,Single Proprietorship,26-Feb-2016,Platinum,Active,20-Feb-2020,20-Feb-2021,201602163329338267412
1,4PJ TRADING AND CONSTRUCTION,Single Proprietorship,29-Oct-2018,Platinum,Active,17-Feb-2020,17-Feb-2021,202002704181356626916
2,MYKL TRADING INCORPORATED,Corporation,12-Feb-2007,Platinum,Active,05-Mar-2020,14-Mar-2021,20070212587250478461
3,F. E. LEE SPORTSBAR AND RESTAURANT,Single Proprietorship,09-Mar-2009,Platinum,Active,17-Feb-2020,19-Feb-2021,202002252761434858227
4,REEL MED MARKETING,Single Proprietorship,21-May-2012,Platinum,Active,18-Feb-2020,18-Feb-2021,201205531931927046589
5,"CHAISERI METAL AND RUBBER CO., LTD.",Foreign Company Organization,28-Nov-2018,Platinum,Active,21-Feb-2020,21-Feb-2021,201811651991341494804
6,M.I.C.E MANAGERS TRAVEL AND TOURS,Single Proprietorship,09-Nov-2016,Platinum,Active,14-Feb-2020,14-Feb-2021,202002192200214502382
7,CHEZ AND ADIE GOLDEN ENTERPRISES,Single Proprietorship,12-Nov-2013,Platinum,Active,14-Feb-2020,14-Feb-2021,20200286940868642689
8,KUSHIDA TRADING & INDUSTRIES INC.,Corporation,28-Feb-2019,Platinum,Active,05-Mar-2020,05-Mar-2021,20190252887131899403
9,PAPIER ETOILE DISTRIBUTION INC.,Corporation,12-Sep-2011,Platinum,Active,14-Feb-2020,14-Feb-2021,202002439071494250897
10,XAVIER PHOTOGRAPHY AND VIDEOGRAPHY SERVICES,Single Proprietorship,14-Oct-2019,Platinum,Active,17-Feb-2020,17-Feb-2021,202002157402084981493
11,FAME INDUSTRIES,Single Proprietorship,17-Jul-2001,Platinum,Active,17-Feb-2020,17-Feb-2021,202002151000761829832
12,ZION DIAGNOSTICS SOLUTIONS,Single Proprietorship,20-Dec-2013,Platinum,Active,18-Feb-2020,18-Feb-2021,20131289939163141687
