,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,ALPIE'S TRADING,Single Proprietorship,30-Jan-2014,Platinum,Active,13-Mar-2020,20-Mar-2021,20140192473990094226
1,FIVE JCL CONSTRUCTION AND TRADING,Single Proprietorship,04-Mar-2020,Platinum,Active,14-Mar-2020,14-Mar-2021,2020032134351795130185
2,ROMERO CONSTRUCTION,Single Proprietorship,13-Apr-2015,Platinum,Active,13-Mar-2020,13-Mar-2021,201504132720821741753
3,JCML BUILDERS,Single Proprietorship,04-Mar-2020,Platinum,Active,13-Mar-2020,13-Mar-2021,202003213466773344955
4,JRG-G TRADING SERVICES,Single Proprietorship,17-Jan-2020,Platinum,Active,13-Mar-2020,13-Mar-2021,20200120721928995835
5,BELLCRANK OFFICE SUPPLIES TRADING,Single Proprietorship,05-Mar-2020,Platinum,Active,16-Mar-2020,16-Mar-2021,202003213748126765364
6,MARICEL A. PRAGO ENTERPRISES,Single Proprietorship,19-Aug-2014,Platinum,Active,13-Mar-2020,13-Mar-2021,201408111580339535442
7,CEBUANO'S TAILOR,Single Proprietorship,15-Nov-2016,Platinum,Active,18-Mar-2020,18-Mar-2021,201611192844927492710
8,SEVS FOOD AND CATERING SERVICES,Single Proprietorship,01-Feb-2018,Platinum,Active,13-Mar-2020,13-Mar-2021,201802117191443664927
9,JNMR GENERAL CONSTRUCTION,Single Proprietorship,15-Mar-2018,Platinum,Active,13-Mar-2020,20-Mar-2021,201803109436179909454
10,ANGEL LIKES CATERING SERVICES,Single Proprietorship,07-Nov-2017,Platinum,Active,31-Jan-2020,31-Jan-2021,197001212477188571899
11,JOHNSTAR TRADING AND CONSTRUCTION,Single Proprietorship,02-Feb-2016,Platinum,Active,10-Mar-2020,12-Mar-2021,2016021605812142895472
12,MINDANAO ISLAND OILS,Single Proprietorship,14-Jul-2014,Platinum,Active,19-Mar-2020,19-Mar-2021,201407108059876886945
13,ROMANCO CONSTRUCTION CORPORATION,Corporation,06-Apr-2010,Platinum,Active,16-Mar-2020,16-Mar-2021,20100433151860843037
14,GREEN THUMB GENERAL MERCHANDISE,Single Proprietorship,06-Feb-2018,Platinum,Active,18-Mar-2020,18-Mar-2021,201802117009336759090
15,"MULAWIN SECURITY AND INVESTIGATION AGENCY, INC.",Corporation,24-Sep-2015,Platinum,Active,18-Mar-2020,18-Mar-2021,201509149400745781825
16,AMADO LIM MERCHANDISING,Single Proprietorship,26-Feb-2016,Platinum,Active,13-Mar-2020,25-Mar-2021,201602163599188528037
17,JONSON'S KITCHENETTE,Single Proprietorship,04-Oct-2017,Platinum,Active,10-Mar-2020,10-Mar-2021,2017101357521235199050
18,CARRY-ON CONSTRUCTION,Single Proprietorship,18-Mar-2004,Platinum,Active,01-Jun-2020,01-Jun-2021,20040334931317310867
19,KLA TRADING,Single Proprietorship,08-Jun-2018,Platinum,Active,10-Mar-2020,10-Mar-2021,20180695526595667707
20,BLASTER PRO AUDIO SERVICES,Single Proprietorship,03-Jan-2013,Platinum,Active,14-Mar-2020,14-Mar-2021,201301637001682414804
21,HANNAHZIEL BUILDERS AND SUPPLY,Single Proprietorship,20-Apr-2009,Platinum,Active,14-Mar-2020,14-Mar-2021,20090426088521144730
22,MOSOA ENTERPRISES,Single Proprietorship,24-Nov-2017,Platinum,Active,13-Mar-2020,13-Mar-2021,201711126787665492302
23,J.G. GARCIA CONSTRUCTION & SUPPLY,Single Proprietorship,20-Jan-2005,Platinum,Active,13-Mar-2020,18-Mar-2021,20050161021330420884
24,"NAHARO BUILDERS, INC.",Corporation,27-Feb-2018,Platinum,Active,13-Mar-2020,21-Mar-2021,201802112390581932622
25,4KMB GENERALMERCHNDISE,Single Proprietorship,17-Jan-2018,Platinum,Active,18-Mar-2020,22-Mar-2021,201801119470514503505
26,"MOJR CONSTRUCTION, TRADING & GENERAL SERVICES LTD. CO.",Partnership,21-Feb-2014,Platinum,Active,13-Mar-2020,13-Mar-2021,201402946084757318
27,MAINSOURCE LIGHTS AND SOUNDS,Single Proprietorship,24-Nov-2011,Platinum,Active,06-Apr-2020,06-Apr-2021,20111145662695873111
28,OCTOZENYX TRADING,Single Proprietorship,18-Nov-2009,Platinum,Active,13-Mar-2020,03-Apr-2021,20091129664122544052
29,ALEBON GENUINE MERCHANDISING INCORPORATED,Corporation,03-Mar-2015,Platinum,Active,13-Mar-2020,16-Mar-2021,201503128481181440198
30,MKCPB CONSTRUCTION SERVICES,Single Proprietorship,14-Sep-2018,Platinum,Active,16-Mar-2020,16-Mar-2021,201809780771631928478
31,STARTSMART ENTERPRISES,Single Proprietorship,04-Mar-2020,Platinum,Active,19-Mar-2020,19-Mar-2021,202003213529503771813
32,WINDOWS INTO NEW COMMUNICATIONS INC.,Corporation,17-Mar-2016,Platinum,Active,10-Mar-2020,12-Mar-2021,2016031657842135158975
33,HOLLYWOOD OFFICE SUPPLIES TRADING,Single Proprietorship,17-Feb-2020,Platinum,Active,14-Mar-2020,14-Mar-2021,2020022109001045417716
34,HNT BUILDERS & ENTERPRISES,Single Proprietorship,15-Nov-2016,Platinum,Active,10-Mar-2020,10-Mar-2021,2016111929841620830524
35,J A LHOUISSE ENTERPRISES,Single Proprietorship,17-Dec-2016,Platinum,Active,13-Mar-2020,13-Mar-2021,2016121888951534547595
