,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,TRUEWORKS HARDWARE CORPORATION,Corporation,19-Jun-2017,Platinum,Active,18-Mar-2020,18-Mar-2021,201706156011946086513
1,SVB TIRE AND CAR ACCESSORIES,Single Proprietorship,21-Nov-2016,Platinum,Active,18-Mar-2020,18-Mar-2021,2016111926101813960091
2,LINK IT SOLUTIONS & DIGITAL PRINTING,Single Proprietorship,15-Apr-2015,Platinum,Active,18-Mar-2020,21-Mar-2021,201504133003113669156
3,A.R.V. CONSTRUCTION & SUPPLIES,Single Proprietorship,21-Feb-2005,Platinum,Active,18-Mar-2020,18-Mar-2021,20050266071140219045
4,PILANG 28 CONSTRUCTION INCORPORATED,Corporation,20-Jan-2020,Platinum,Active,07-May-2020,07-May-2021,2020011879346555263
5,IWATA KEN HEAVY EQUIPMENT PARTS AND HARDWARE,Single Proprietorship,09-Dec-2008,Platinum,Active,30-Mar-2020,30-Mar-2021,2008122379263414533
6,REASONS CONTRUCTION & SUPPLIES,Single Proprietorship,13-Nov-2007,Platinum,Active,03-Feb-2020,03-Feb-2021,202007212466769268013
7,DIONIE MEDICAL SUPPLIES,Single Proprietorship,20-Jan-2020,Platinum,Active,31-Jan-2020,31-Jan-2021,2020052124291370807249
8,RMB AGRO CHEMICALS TRADING CORPORATION,Corporation,11-Jun-2019,Platinum,Active,29-Jan-2020,29-Jan-2021,2020072123862020985316
9,CRISNARD CONSTRUCTION & SUPPLY,Single Proprietorship,29-Nov-2007,Platinum,Active,31-Jan-2020,31-Jan-2021,202007212382294168573
10,RKEA BUILDERS & SUPPLY,Single Proprietorship,01-Feb-2012,Platinum,Active,03-Feb-2020,03-Feb-2021,202008212262147917627
11,TAURUS ARMAS S.A.,Foreign Company Organization,19-Jun-2018,Platinum,Active,04-Feb-2020,04-Feb-2021,202008212261330216760
12,"ROYAL TG SECURITY AGENCY, INC.",Corporation,23-Jan-2008,Platinum,Active,31-Jan-2020,31-Jan-2021,2020052122101590702249
13,INFOADVANCE INC.,Corporation,22-Nov-2014,Platinum,Active,31-Jan-2020,31-Jan-2021,2020082121481974428121
14,ADAMS EGG HATCHERY GAMEFOWLS &AMP; POULTRY ENTERPRISES,Single Proprietorship,03-Dec-2018,Platinum,Active,04-Feb-2020,04-Feb-2021,2020062121131027824021
15,PINNACLES STRUCTURAL WORKS AND CONSTRUCTION SUPPLIES,Single Proprietorship,13-Mar-2018,Platinum,Active,31-Jan-2020,31-Jan-2021,202007212112921741221
16,R-PITOGO BUILDERS,Single Proprietorship,29-Oct-2018,Platinum,Active,31-Jan-2020,31-Jan-2021,2020062120871180114715
17,AOL TRAVEL & TOURS,Single Proprietorship,08-Mar-2016,Platinum,Active,24-Mar-2020,02-Apr-2021,201603164483635716991
18,HEXAGRAM BUILDERS,Single Proprietorship,27-Jan-2010,Platinum,Active,18-Mar-2020,18-Mar-2021,20100131594977973595
19,SPEED WRENCH MOTOR WORKS,Single Proprietorship,12-Aug-2016,Platinum,Active,29-Jul-2020,29-Jul-2021,201608181174631216113
20,TCCR TRADING,Single Proprietorship,20-Oct-2015,Platinum,Active,23-Mar-2020,23-Mar-2021,2015101517931050077692
21,JOSEPH PEST CONTROL,Single Proprietorship,24-Jan-2018,Platinum,Active,26-May-2020,26-May-2021,201801118692672411460
22,ROMARC ENTERPRISES,Single Proprietorship,09-Mar-2004,Platinum,Active,01-Apr-2020,01-Apr-2021,2004033369461381035
23,IRONFORGE CONSTRUCTION AND SUPPLY,Single Proprietorship,08-Mar-2013,Platinum,Active,29-Jun-2020,29-Jun-2021,201303677761886275732
24,SANDBANK CONSTRUCTION AND DEVELOPMENT,Single Proprietorship,29-Jul-2016,Platinum,Active,19-Mar-2020,19-Mar-2021,2016071793321677694253
25,W.S.FAGCANGAN CONSTRUCTION MANAGEMENT SERVICES,Single Proprietorship,20-Jun-2019,Platinum,Active,23-Jun-2020,23-Jun-2021,201906372521276953143
26,APLAYA VIDA BEACH RESORT,Single Proprietorship,19-Jan-2016,Platinum,Active,17-Mar-2020,17-Mar-2021,201601158990228385271
27,HLOO ECOLODGE,Single Proprietorship,09-Sep-2016,Platinum,Active,23-Mar-2020,23-Mar-2021,2016091846831210559112
28,PIXZEL ENTERPRISES,Single Proprietorship,23-Jan-2017,Platinum,Active,07-May-2020,07-May-2021,201701184582770835845
29,DAVAO CITY FREE FARMERS COOPERATIVE,Cooperative,11-Jun-2015,Platinum,Active,24-Mar-2020,24-Mar-2021,2015061383361915725999
30,NATURE'S GIFT WELLNESS PRODUCTS CORP,Corporation,14-Dec-2016,Platinum,Active,20-May-2020,20-May-2021,2016121899741693946170
31,HARDWARE INNOVATION ENTERPRISE,Single Proprietorship,22-Jul-2014,Platinum,Active,23-Mar-2020,23-Mar-2021,201407108691899373050
32,R.T. DIWA CONSTRUCTION AND GENERAL MERCHANDISE,Single Proprietorship,16-Sep-2009,Platinum,Active,10-Jun-2020,10-Jun-2021,200909286221035330570
33,CMRU GENERAL MERCHANDISE,Single Proprietorship,07-Feb-2019,Platinum,Active,19-Mar-2020,19-Mar-2021,201902564311772322228
34,MILCEN HARDWARE & CONSTRUCTION SUPPLY,Single Proprietorship,15-Sep-2017,Platinum,Active,26-Mar-2020,26-Mar-2021,201709139519967188733
35,E.R. PRIME MAINTENANCE SERVICES INC.,Corporation,09-Mar-2020,Platinum,Active,06-Apr-2020,06-Apr-2021,2020032140161996992708
36,NIIGATA TRUCK SALES CORPORATION,Corporation,05-Mar-2013,Platinum,Active,19-Mar-2020,11-Apr-2021,201303673671437480923
37,CRETOP GEODETIC ENGINEERING SERVICES,Single Proprietorship,09-Jul-2019,Platinum,Active,07-Aug-2020,07-Aug-2021,201907339522121565931
38,MAYON TIMES_THE,Single Proprietorship,09-Mar-2020,Platinum,Active,29-Jun-2020,29-Jun-2021,2020032141241210099238
39,TNB BUILDERS,Single Proprietorship,16-Sep-2004,Platinum,Active,20-May-2020,20-May-2021,2004095166781685774
40,"HEALTH LINE MEDICAL DISTRIBUTIONS, INC",Corporation,02-Mar-2007,Platinum,Active,18-Mar-2020,23-Mar-2021,20070312959742272698
41,"RAJ PLANS, DESIGNS AND CONSULTANCY",Single Proprietorship,22-Jun-2017,Platinum,Active,18-Mar-2020,18-Mar-2021,2017061555491109876096
42,JT COMMERCIAL,Single Proprietorship,08-Oct-2019,Platinum,Active,18-Mar-2020,18-Mar-2021,20191016774264337906
43,"AVESCOR MOTORS OF BACOLOD, INC.",Corporation,22-Jun-2009,Platinum,Active,18-Mar-2020,18-Mar-2021,20090679237346558123
44,RASA SURVEYING INSTRUMENTS,Single Proprietorship,26-Apr-2011,Platinum,Active,18-Mar-2020,10-Apr-2021,20110440655431443450
45,FIRST COMMONWEALTH HOTEL CORPORATION,Corporation,05-Aug-2014,Platinum,Active,05-May-2020,14-May-2021,2014081099521934975933
46,ISLAND AIR PRODUCTS CORP. - PASIG BRANCH,Corporation,04-Sep-2015,Platinum,Active,05-Jun-2020,05-Jun-2021,201509147362210958827
