,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
0,CAGALAWAN ENTERPRISES,Single Proprietorship,20-Jul-2015,Platinum,Active,29-Apr-2020,27-May-2021,2015071424721910300130
1,GBR-GEN GENERAL MERCHANDISE,Single Proprietorship,02-Oct-2014,Platinum,Active,30-Apr-2020,02-May-2021,201410115778493953891
2,MIYAN ENTERPRISES,Single Proprietorship,06-Dec-2012,Platinum,Active,29-Apr-2020,29-Apr-2021,20121262988557469508
3,UNIVERSAL COMMERCIAL CORP.,Corporation,08-Aug-2001,Platinum,Active,30-Apr-2020,12-May-2021,200108132284636860
4,ONE COMMERCE (INTERNATIONAL) CORPORATION,Corporation,24-Feb-2005,Platinum,Active,29-Apr-2020,03-May-2021,20050266411916948878
5,KJC CONSTRUCTION & SUPPLY,Single Proprietorship,22-Feb-2008,Platinum,Active,25-Jun-2020,25-Jun-2021,20080219025286087875
6,"AIMS AGRI VENTURES, INC.",Corporation,25-Mar-2008,Platinum,Active,28-Apr-2020,28-Apr-2021,20080319632317113339
7,J. PURISIMA ENTERPRISES,Single Proprietorship,17-Mar-2005,Platinum,Active,29-Apr-2020,11-May-2021,2005036874823444390
8,FIRST QUADRANT GRAND MKTG. & DEVT. CORP DOING BUSINESS UNDERTHE NAME AND STYLE OF FLEXI PHARMA,Corporation,23-Apr-2005,Platinum,Active,05-May-2020,05-May-2021,2005047176358184809
9,VALDEBER INTERNATIONAL TRADING CO.,Partnership,09-Jan-2002,Platinum,Active,29-Apr-2020,29-Apr-2021,2002013281271110759
10,PRIME HAUS BUILDERS AND ENTERPRISES,Single Proprietorship,23-Feb-2016,Platinum,Active,29-Apr-2020,29-Apr-2021,201602162879983076096
11,EAST POINT BUILDERS AND SUPPLY,Single Proprietorship,05-Mar-2017,Platinum,Active,11-May-2020,11-May-2021,201703175296175090945
12,ROG ENTERPRISE,Single Proprietorship,02-Oct-2003,Platinum,Active,04-May-2020,04-May-2021,20031018951195452574
13,DEPENDABLE SECURITY AGENCY,Single Proprietorship,09-Mar-2011,Platinum,Active,05-May-2020,27-May-2021,201103392951119779628
14,DYNAMED HEALTHCARE INCORPORATED,Corporation,11-Apr-2018,Platinum,Active,28-Apr-2020,30-Apr-2021,20180410516919094594
15,DEGRAMM LABORATORY SUPPLY,Single Proprietorship,27-Oct-2011,Platinum,Active,27-Apr-2020,27-Apr-2021,201110450891126564385
16,MUREX DIAGNOSTIC PRODUCTS SPECIALISTS,Single Proprietorship,01-Aug-2006,Platinum,Active,28-Apr-2020,28-Apr-2021,20060810725537571101
17,"GOLDEN ARMOUR SECURITY SERVICES, INCORPORATED",Corporation,14-Aug-2018,Platinum,Active,26-May-2020,26-May-2021,201808839781512450273
18,TRIPLE C CATERING SEVICES,Single Proprietorship,16-Aug-2016,Platinum,Active,01-Jun-2020,01-Jun-2021,2016081816951505900178
19,NEW TBP CONSTRUCTION & DEV'T CORP.,Corporation,04-Dec-2003,Platinum,Active,13-May-2020,13-May-2021,2003122132675099399
20,RIMATYRE CONSTRUCTION SERVICES,Single Proprietorship,29-Jul-2017,Platinum,Active,29-Apr-2020,29-Apr-2021,2017071486101171768907
21,LACKO PLASTIC PRODUCTS INCORPORATED,Corporation,15-Mar-2012,Platinum,Active,30-Apr-2020,30-Apr-2021,201203503761705389825
22,REAL FORM FURNITURE SHOP,Single Proprietorship,12-Jun-2007,Platinum,Active,29-Apr-2020,03-May-2021,200706141971123708409
23,POST AD VENTURES INCORPORATED,Corporation,15-Apr-2008,Platinum,Active,30-Apr-2020,20-May-2021,20080419954498513120
24,KAPHILA CORP,Corporation,04-Dec-2019,Platinum,Active,28-Apr-2020,28-Apr-2021,2019126590457743686
25,"MANGEN TECHNO - BUILDERS, INC.",Corporation,08-Apr-2015,Platinum,Active,04-May-2020,04-May-2021,2015041323461326832774
26,"J.E. TICO CONSTRUCTION CO., INC.",Corporation,22-Jun-2012,Platinum,Active,04-May-2020,27-Jun-2021,201206548161028285433
27,JOEM MAE GENERAL MERCHANDISE,Single Proprietorship,06-Jan-2010,Platinum,Active,28-Apr-2020,25-Jun-2021,201001302461703315326
28,ELWIN'S GENERAL MERCHANDISING & NEEDLE CRAFTS,Single Proprietorship,22-Nov-2006,Platinum,Active,13-Jul-2020,13-Jul-2021,20061111771180337677
29,CONEQUIP PHILIPPINES INC.,Corporation,02-Sep-2010,Platinum,Active,29-Apr-2020,11-May-2021,20100940007131953221
